##blend;w1;w2;w3;source
##blend;w1;w2;w3;source
##!=Name *=wrong;;;;
escalift;escalator;lift;0;BatEl06
establishmenterprise;establishment;enterprise;0;thinkzone11
evile;evil;vile;0;thinkzone11
evilution;evil;evolution;0;Schott11
examnesia;exam;amnesia;0;Minkova09
explainterpret;explain;interpret;0;thinkzone11
explodestroy;explode;destroy;0;thinkzone11
explornography;explore;pornography;0;Minkova09
extravagapper;extravagant;gapper;0;Schott11
fablegend;fable;legend;0;thinkzone11
fabricloth;fabric;cloth;0;thinkzone11
factigue;fact;fatigue;0;Minkova09
Faction;fact;fiction;0;english4students11
faction;fact;fiction;0;ewPortmanteaus11
faitheory;faith;theory;0;thinkzone11
fanbole;fan;hyperbole;0;Schott11
fangst;fan;angst;0;Schott11
fanpire;fan;vampire;0;Schott11
fantabulous;fantastic;fabulous;0;Gries04a
Fantabulous;fantastic;fabulous;0;english4students11
fantabulous;fantastic;fabulous;0;ewPortmanteaus11
Fanzine;fanatic;magazine;0;english4students11
fanzine;fan;magazine;0;wisegeek11
fashionalista;fashion;nationalistic;0;Schott11
fellad;fella;lad;0;thinkzone11
felladdie;fella;laddie;0;thinkzone11
femaleader;female;leader;0;thinkzone11
Feminar;feminine;seminar;0;english4students11
femivore;feminine;locavore;0;Schott11
figureckon;figure;reckon;0;thinkzone11
filmovie;film;movie;0;thinkzone11
finlit;financial;literature;0;Schott11
firstart;first;start;0;thinkzone11
flapel;flap;lapel;0;thinkzone11
flashowy;flash;showy;0;thinkzone11
flexisexual;flexible;sexuality;0;Schott11
flog;fake;blog;0;wisegeek11
flogo;fly;logo;0;Schott11
flopenhagen;flop;copenhagen;0;Schott11
flurry;flutter;hurry;0;Minkova09
flush;flash;gush;0;Minkova09
foodoir;food;memoir;0;Schott11
foolosopher;fool;philosopher;0;Gries04a
foon;fork;spoon;0;ewPortmanteaus11
formamide;formite;amide;0;Gries04a
formerstwhile;former;erstwhile;0;thinkzone11
fortran;formula;translation;0;BatEl06
franglais;francais;anglais;0;Katamba05
frankenbomber;frankenstein;bomber;0;Schott11
!frankenfood;Frankenstein;food;0;ewPortmanteaus11
!frankenword;Frankenstein;word;0;ewPortmanteaus11
!franzenfreude;franzen;Schadenfreude;0;Schott11
Frarority;fraternity;sorority;0;english4students11
fratire;fraternity;satire;0;ewPortmanteaus11
fraudience;fraud;audience;0;ewPortmanteaus11
freemium;free;premium;0;Schott11
freeware;free;software;0;ewPortmanteaus11
frenemy;friend;enemy;0;ewPortmanteaus11
frightseeing;fright;sightseeing;0;Schott11
friskylark;frisk;skylark;0;thinkzone11
fryoungster;fry;youngster;0;thinkzone11
fucktard;fucking;retard;0;ewPortmanteaus11
fundertaking;fun;undertaking;0;thinkzone11
funemployment;fun;unemployment;0;Schott11
futilitarian;futile;utilitarian;0;Gries04a
gaincrease;gain;increase;0;thinkzone11
galumph;gallop;triumph;0;Carroll71
gamerrymaking;game;merrymaking;0;thinkzone11
Gasohol;gasoline;alcohol;0;english4students11
gaydar;gay;radar;0;ewPortmanteaus11
!Gee-yonce;Gaga;Beyonce;0;Schott11
geep;goat;sheep;0;ewPortmanteaus11
geniuser;genius;user;0;thinkzone11
gentlemankind;gentleman;mankind;0;thinkzone11
!gerrymander;Gerry_Elbridge;salamander;0;ewPortmanteaus11
ghostagger;ghost;stagger;0;thinkzone11
Ginormous;gigantic;enormous;0;english4students11
ginormous;gigantic;enormous;0;wisegeek11
ginormous;gigantic;enormous;0;ewPortmanteaus11
gladvert;glad;advertisement;0;Schott11
glamdalism;glamour;vandalism;0;Schott11
glamma;glamour;grandma;0;Schott11
glasphalt;glass;asphalt;0;Gries04a
glaze;glare;gaze;0;BatEl06
gleek;glee;geek;0;Schott11
glidescend;glide;descend;0;thinkzone11
glimpsee;glimpse;see;0;thinkzone11
glitterati;glitter;literati;0;wisegeek11
globearth;globe;earth;0;thinkzone11
globesity;global;obesity;0;Minkova09
gobbleat;gobble;eat;0;thinkzone11
godeity;god;deity;0;thinkzone11
goon;gorilla;baboon;0;BatEl06
gooze;goo;ooze;0;thinkzone11
goutrage;gout;rage;0;ewPortmanteaus11
governmenterprise;government;enterprise;0;thinkzone11
grapear;grape;pear;0;thinkzone11
greenwash;green;whitewash;0;ewPortmanteaus11
greycation;grey;vacation;0;Schott11
greycationer;grey;vacationer;0;Schott11
gription;grip;friction;0;ewPortmanteaus11
gription;grip;traction;0;ewPortmanteaus11
grouchurl;grouch;churl;0;thinkzone11
grudge;grutch;gredge;0;Gries04a
grue;green;blue;0;ewPortmanteaus11
guesstimate;guess;estimate;0;ewPortmanteaus11
guestar;guest;star;0;Kubozono00
Guestimate;guess;estimate;0;english4students11
guyliner;guy;eyeliner;0;Schott11
gyrateeter;gyrate;teeter;0;thinkzone11
gyrevolve;gyre;revolve;0;thinkzone11
hameo;hammy;cameo;0;Schott11
hasbian;has_been;lesbian;0;ewPortmanteaus11
haterrorist;hater;terrorist;0;thinkzone11
hattire;hat;attire;0;thinkzone11
haughty_culturists;haughty;horticulturist;0;Schott11
hauncheek;haunch;cheek;0;thinkzone11
headministrator;head;administrator;0;thinkzone11
headversary;head;adversary;0;thinkzone11
heavage;heave;cleavage;0;Schott11
heavenlightenment;heaven;enlightenment;0;thinkzone11
hecession;he;recession;0;Schott11
hegan;he;vegan;0;Schott11
heistickup;heist;stickup;0;thinkzone11
heliport;helicopter;airport;0;Minkova09
hesiflation;hesitation;inflation;0;Gries04a
hiddenigma;hidden;enigma;0;thinkzone11
hintimate;hint;intimate;0;thinkzone11
hippiecrite;hippie;hypocrite;0;ewPortmanteaus11
holeak;hole;leak;0;thinkzone11
holidating;holiday;dating;0;Schott11
homance;hos;bromance;0;Schott11
homicideath;homicide;death;0;thinkzone11
honestraight;honest;straight;0;thinkzone11
hoodlummox;hoodlum;lummox;0;thinkzone11
hoodlump;hoodlum;lump;0;thinkzone11
hopenhagen;hope;copenhagen;0;Schott11
hotac;hotel;accommodation;0;ewPortmanteaus11
hove;hawk;dove;0;Gries04a
humorality;humor;morality;0;thinkzone11
humoriginality;humor;originality;0;thinkzone11
imbibeverage;imbibe;beverage;0;thinkzone11
incidentaloma;incident;melanoma;0;Schott11
indish;indian;english;0;Schott11
indocrat;independent;democrat;0;Kubozono00
indovation;india;innovation;0;Schott11
infomercial;information;commercial;0;ewPortmanteaus11
infotainment;information;entertainment;0;ewPortmanteaus11
initialpha;initial;alpha;0;thinkzone11
Intel;integrated;electronics;0;ewPortmanteaus11
Internet;international;network;0;english4students11
invitempt;invite;tempt;0;thinkzone11
itchafe;itch;chafe;0;thinkzone11
Jackpot;jack;pot;0;english4students11
jambassador;jamaica;ambassador;0;Schott11
jargonaut;jargon;astronaut;0;Schott11
Jaywalk;jay;walk;0;english4students11
Jazzercise;jazz;exercise;0;ewPortmanteaus11
jazzercise;jazz;exercise;0;BatEl06
jeggings;jeans;leggings;0;ewPortmanteaus11
Jerkwater;jerk;water;0;english4students11
jobusiness;job;business;0;thinkzone11
joinfiltrate;join;infiltrate;0;thinkzone11
joustruggle;joust;struggle;0;thinkzone11
Joypad;joystick;pad;0;english4students11
jumblend;jumble;blend;0;thinkzone11
jumpstartle;jumpstart;startle;0;thinkzone11
kangatarian;kangaroo;vegetarian;0;Schott11
keistern;keister;stern;0;thinkzone11
!Kentacohut;Kentucky_Fried_Chicken;Taco_Bell;Pizza_Hut;ewPortmanteaus11
keytainer;key;container;0;BatEl06
kingdomain;kingdom;domain;0;thinkzone11
kloran;klan;koran;0;BatEl06
knowledgebase;knowledge;database;0;ewPortmanteaus11
